Date,Open,High,Low,Close ,Adj Close ,Volume
9-Sep-19,"30,495.25","30,892.19","30,215.72","30,764.50","30,764.50",-
2-Sep-19,"29,841.35","30,507.35","29,574.21","30,398.68","30,398.68",-
26-Aug-19,"29,154.11","30,072.42","29,154.11","29,925.35","29,925.35",-
19-Aug-19,"29,858.95","30,101.08","29,048.97","29,154.11","29,154.11",-
12-Aug-19,"29,945.65","30,158.40","28,950.16","29,597.94","29,597.94",-
5-Aug-19,"30,120.89","30,186.49","28,974.92","29,945.65","29,945.65",-
29-Jul-19,"31,137.74","31,143.23","29,938.27","30,120.89","30,120.89",-
22-Jul-19,"30,607.58","31,168.59","30,607.58","31,146.52","31,146.52",-
15-Jul-19,"30,984.93","31,013.48","30,572.99","30,607.58","30,607.58",-
8-Jul-19,"30,734.57","30,986.63","30,479.45","30,984.93","30,984.93",-
1-Jul-19,"30,410.33","30,794.87","30,365.16","30,763.72","30,763.72",-
24-Jun-19,"30,333.16","30,364.37","29,888.09","30,268.05","30,268.05",-
17-Jun-19,"29,684.75","30,464.91","29,684.75","30,321.87","30,321.87",-
10-Jun-19,"29,545.54","29,938.22","29,545.54","29,684.75","29,684.75",-
3-Jun-19,"28,369.39","29,655.99","28,107.06","29,545.54","29,545.54",-
27-May-19,"29,147.61","29,299.36","28,338.29","28,369.39","28,369.39",-
20-May-19,"29,521.61","29,630.45","28,916.43","29,147.59","29,147.59",-
13-May-19,"29,801.60","29,893.27","28,944.08","29,521.60","29,521.60",-
6-May-19,"30,131.47","30,394.14","29,236.28","29,801.60","29,801.60",-
29-Apr-19,"30,367.95","30,490.07","29,933.63","30,460.59","30,460.59",-
22-Apr-19,"29,957.22","30,371.28","29,896.16","30,371.12","30,371.12",-
15-Apr-19,"30,057.59","30,154.44","29,839.90","29,981.13","29,981.13",-
8-Apr-19,"29,871.86","30,086.07","29,667.81","30,059.94","30,059.94",-
1-Apr-19,"29,266.91","29,891.77","29,266.91","29,887.04","29,887.04",-
25-Mar-19,"28,909.55","29,284.02","28,736.53","29,266.91","29,266.91",-
18-Mar-19,"29,193.75","29,579.65","28,909.47","28,909.55","28,909.55",-
11-Mar-19,"28,435.67","29,286.81","28,435.67","29,193.75","29,193.75",-
4-Mar-19,"29,192.52","29,230.88","28,194.83","28,402.19","28,402.19",-
25-Feb-19,"29,034.09","29,205.23","28,807.42","29,102.59","29,102.59",-
18-Feb-19,"28,804.29","28,993.26","28,696.11","28,986.29","28,986.29",-
11-Feb-19,"28,097.72","28,804.76","28,036.97","28,804.29","28,804.29",-
4-Feb-19,"28,028.59","28,376.08","27,792.14","28,056.58","28,056.58",-
28-Jan-19,"27,528.94","28,108.54","27,190.36","28,026.70","28,026.70",-
